State,X1.1.20
Alaska,78236
Alabama,57243
Arkansas,53148
Arizona,70220
California,81278
Colorado,87689
Connecticut,83141
Delaware,73292
Florida,60460
Georgia,62033
Hawaii,84600
Iowa,72030
Idaho,69841
Illinois,77805
Indiana,69925
Kansas,76495
Kentucky,59405
Louisiana,53576
Massachusetts,91912
Maryland,99215
Maine,66667
Michigan,67399
Minnesota,82431
Missouri,65081
Mississippi,47242
Montana,59390
North Carolina,63252
North Dakota,67109
Nebraska,75622
New Hampshire,93045
New Jersey ,89543
New Mexico,53283
Nevada,64020
New York ,71865
Ohio,63198
Oklahoma,54921
Oregon,80443
Pennsylvania,74094
Rhode Island,83918
South Carolina ,63159
South Dakota,73467
Tennessee,57542
Texas,71599
Utah,87915
Virginia,86053
Vermont,70398
Washington,85157
Wisconsin,70553
West Virginia,54396
Wyoming,68506
