YEAR,STATE,RATE,URL
2021,AL,7.6,/nchs/pressroom/states/alabama/al.htm
2021,AK,6.3,/nchs/pressroom/states/alaska/ak.htm
2021,AZ,5.4,/nchs/pressroom/states/arizona/az.htm
2021,AR,8.2,/nchs/pressroom/states/arkansas/ar.htm
2021,CA,5.2,/nchs/pressroom/states/california/ca.htm
2021,CO,7.4,/nchs/pressroom/states/colorado/co.htm
2021,CT,5.4,/nchs/pressroom/states/connecticut/ct.htm
2021,DE,4.9,/nchs/pressroom/states/delaware/de.htm
2021,District of Columbia,7.3,/nchs/pressroom/states/DC/DC1.htm
2021,FL,6.8,/nchs/pressroom/states/florida/fl.htm
2021,GA,5.5,/nchs/pressroom/states/georgia/ga.htm
2021,HI,12.8,/nchs/pressroom/states/hawaii/hi.htm
2021,ID,7.4,/nchs/pressroom/states/idaho/id.htm
2021,IL,4.7,/nchs/pressroom/states/illinois/il.htm
2021,IN,6,/nchs/pressroom/states/indiana/in.htm
2021,IA,5.3,/nchs/pressroom/states/iowa/ia.htm
2021,KS,5.4,/nchs/pressroom/states/kansas/ks.htm
2021,KY,6.3,/nchs/pressroom/states/kentucky/ky.htm
2021,LA,4.4,/nchs/pressroom/states/louisiana/la.htm
2021,ME,7.3,/nchs/pressroom/states/maine/me.htm
2021,MD,5.2,/nchs/pressroom/states/maryland/md.htm
2021,MA,4.6,/nchs/pressroom/states/massachusetts/ma.htm
2021,MI,5.2,/nchs/pressroom/states/michigan/mi.htm
2021,MN,4.8,/nchs/pressroom/states/minnesota/mn.htm
2021,MS,6,/nchs/pressroom/states/mississippi/ms.htm
2021,MO,6,/nchs/pressroom/states/missouri/mo.htm
2021,MT,11,/nchs/pressroom/states/montana/mt.htm
2021,NE,5.3,/nchs/pressroom/states/nebraska/ne.htm
2021,NV,26.2,/nchs/pressroom/states/nevada/nv.htm
2021,NH,6.7,/nchs/pressroom/states/newhampshire/nh.htm
2021,NJ,5.1,/nchs/pressroom/states/newjersey/nj.htm
2021,NM,5.9,/nchs/pressroom/states/newmexico/nm.htm
2021,NY,5.2,/nchs/pressroom/states/newyork/ny.htm
2021,NC,6.2,/nchs/pressroom/states/northcarolina/nc.htm
2021,ND,5.2,/nchs/pressroom/states/northdakota/nd.htm
2021,OH,5.2,/nchs/pressroom/states/ohio/oh.htm
2021,OK,6.1,/nchs/pressroom/states/oklahoma/ok.htm
2021,OR,5.7,/nchs/pressroom/states/oregon/or.htm
2021,PA,5.4,/nchs/pressroom/states/pennsylvania/pa.htm
2021,RI,5.8,/nchs/pressroom/states/rhodeisland/ri.htm
2021,SC,6.5,/nchs/pressroom/states/southcarolina/sc.htm
2021,SD,6.3,/nchs/pressroom/states/southdakota/sd.htm
2021,TN,7.6,/nchs/pressroom/states/tennessee/tn.htm
2021,TX,5.8,/nchs/pressroom/states/texas/tx.htm
2021,UT,9.1,/nchs/pressroom/states/utah/ut.htm
2021,VT,7.4,/nchs/pressroom/states/vermont/vt.htm
2021,VA,5.9,/nchs/pressroom/states/virginia/va.htm
2021,WA,5.5,/nchs/pressroom/states/washington/wa.htm
2021,WV,6,/nchs/pressroom/states/westvirginia/wv.htm
2021,WI,5,/nchs/pressroom/states/wisconsin/wi.htm
2021,WY,7.4,/nchs/pressroom/states/wyoming/wy.htm
2020,Alabama,7.2,/nchs/pressroom/states/alabama/al.htm
2020,Alaska,5.7,/nchs/pressroom/states/alaska/ak.htm
2020,Arizona,4.9,/nchs/pressroom/states/arizona/az.htm
2020,Arkansas,7.8,/nchs/pressroom/states/arkansas/ar.htm
2020,California,3.2,/nchs/pressroom/states/california/ca.htm
2020,Colorado,6.7,/nchs/pressroom/states/colorado/co.htm
2020,Connecticut,4.3,/nchs/pressroom/states/connecticut/ct.htm
2020,Delaware,4.4,/nchs/pressroom/states/delaware/de.htm
2020,Florida,5.7,/nchs/pressroom/states/florida/fl.htm
2020,Georgia,5.1,/nchs/pressroom/states/georgia/ga.htm
2020,Hawaii,7.4,/nchs/pressroom/states/hawaii/hi.htm
2020,Idaho,7.3,/nchs/pressroom/states/idaho/id.htm
2020,Illinois,3.9,/nchs/pressroom/states/illinois/il.htm
2020,Indiana,5.8,/nchs/pressroom/states/indiana/in.htm
2020,Iowa,4.9,/nchs/pressroom/states/iowa/ia.htm
2020,Kansas,4.9,/nchs/pressroom/states/kansas/ks.htm
2020,Kentucky,4.9,/nchs/pressroom/states/kentucky/ky.htm
2020,Louisiana,3.4,/nchs/pressroom/states/louisiana/la.htm
2020,Maine,5.8,/nchs/pressroom/states/maine/me.htm
2020,Maryland,4.3,/nchs/pressroom/states/maryland/md.htm
2020,Massachusetts,4,/nchs/pressroom/states/massachusetts/ma.htm
2020,Michigan,4.2,/nchs/pressroom/states/michigan/mi.htm
2020,Minnesota,4.4,/nchs/pressroom/states/minnesota/mn.htm
2020,Mississippi,5.7,/nchs/pressroom/states/mississippi/ms.htm
2020,Missouri,5.6,/nchs/pressroom/states/missouri/mo.htm
2020,Montana,10.4,/nchs/pressroom/states/montana/mt.htm
2020,Nebraska,5,/nchs/pressroom/states/nebraska/ne.htm
2020,Nevada,21,/nchs/pressroom/states/nevada/nv.htm
2020,Newhampshire,6.1,/nchs/pressroom/states/newhampshire/nh.htm
2020,New Jersey,4.1,/nchs/pressroom/states/newjersey/nj.htm
2020,New Mexico,3.4,/nchs/pressroom/states/newmexico/nm.htm
2020,New York,4.5,/nchs/pressroom/states/newyork/ny.htm
2020,North Carolina ,5.5,/nchs/pressroom/states/northcarolina/nc.htm
2020,North Dakota,5.3,/nchs/pressroom/states/northdakota/nd.htm
2020,Ohio,4.8,/nchs/pressroom/states/ohio/oh.htm
2020,Oklahoma ,5.9,/nchs/pressroom/states/oklahoma/ok.htm
2020,Oregan ,5.2,/nchs/pressroom/states/oregon/or.htm
2020,Pennsylvannia ,4.6,/nchs/pressroom/states/pennsylvania/pa.htm
2020,Rhode Island,4.5,/nchs/pressroom/states/rhodeisland/ri.htm
2020,South Carolina ,5.7,/nchs/pressroom/states/southcarolina/sc.htm
2020,South Dakota,6,/nchs/pressroom/states/southdakota/sd.htm
2020,Tennessee,7.3,/nchs/pressroom/states/tennessee/tn.htm
2020,Texas,5.3,/nchs/pressroom/states/texas/tx.htm
2020,Utah,8.4,/nchs/pressroom/states/utah/ut.htm
2020,Vermont,6,/nchs/pressroom/states/vermont/vt.htm
2020,Virginia ,5.3,/nchs/pressroom/states/virginia/va.htm
2020,Washington,4.8,/nchs/pressroom/states/washington/wa.htm
2020,West Virginia ,5.6,/nchs/pressroom/states/westvirginia/wv.htm
2020,Wisonconsin ,4.5,/nchs/pressroom/states/wisconsin/wi.htm
2020,West Virginia ,6.8,/nchs/pressroom/states/wyoming/wy.htm
2019,AL,6.7,/nchs/pressroom/states/alabama/al.htm
2019,AK,6.5,/nchs/pressroom/states/alaska/ak.htm
2019,AZ,5.3,/nchs/pressroom/states/arizona/az.htm
2019,AR,8.4,/nchs/pressroom/states/arkansas/ar.htm
2019,CA,5.7,/nchs/pressroom/states/california/ca.htm
2019,CO,7.3,/nchs/pressroom/states/colorado/co.htm
2019,CT,5,/nchs/pressroom/states/connecticut/ct.htm
2019,DE,5,/nchs/pressroom/states/delaware/de.htm
2019,District of Columbia,7.8,/nchs/pressroom/states/DC/DC1.htm
2019,FL,7.1,/nchs/pressroom/states/florida/fl.htm
2019,GA,6,/nchs/pressroom/states/georgia/ga.htm
2019,HI,14.2,/nchs/pressroom/states/hawaii/hi.htm
2019,ID,7.4,/nchs/pressroom/states/idaho/id.htm
2019,IL,5.2,/nchs/pressroom/states/illinois/il.htm
2019,IN,6.2,/nchs/pressroom/states/indiana/in.htm
2019,IA,5.4,/nchs/pressroom/states/iowa/ia.htm
2019,KS,5.3,/nchs/pressroom/states/kansas/ks.htm
2019,KY,6.3,/nchs/pressroom/states/kentucky/ky.htm
